"region","species","type","current_status","short_trend","short_trend_cat","long_trend","long_trend_cat","current_abundance","current_abundance_year","average_abundance","previous_gen_abundance","gen_length","nyears","rangeyears"
"Columbia","Chinook","Spawners",NA,0.120419666491745,"arrow-up",0.0672629919187124,"arrow-up",28.8376030672724,2022,21.0899696956417,48.3341217741256,5,17,"2006-2022"
"Columbia","Chinook","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA
"Columbia","Chum","Spawners",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"Columbia","Chum","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"Columbia","Coho","Spawners",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"Columbia","Coho","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"Columbia","Pink","Spawners",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"Columbia","Pink","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"Columbia","Sockeye","Spawners",0.701025489812982,-0.143868908201946,"arrow-down",0.0182365973075911,"arrow-up",32451.0523297099,2022,19077.3462973078,20580.1738347196,4,62,"1961-2022"
"Columbia","Sockeye","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,4,NA,NA
"Columbia","Steelhead","Spawners",NA,-0.306421745387041,"arrow-down",-0.258361668911756,"arrow-down",2.5315274598176,2021,30.8477144667876,17.0595985657688,5,16,"2006-2021"
"Columbia","Steelhead","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA
