"","region","stream_name_pse","sppSum"
"Central Coast-QUARTCHA CREEK",Central Coast,QUARTCHA CREEK,9504.83903420523
"Central Coast-QUATLENA RIVER",Central Coast,QUATLENA RIVER,3742.43137254902
"Central Coast-QUIGLEY CREEK",Central Coast,QUIGLEY CREEK,1729.31945066428
"Central Coast-RAINBOW CREEK",Central Coast,RAINBOW CREEK,235.420454545455
"Central Coast-RAWLINSON ANCHORAGE CREEK",Central Coast,RAWLINSON ANCHORAGE CREEK,2561.92583732057
"Central Coast-RIORDAN CREEK",Central Coast,RIORDAN CREEK,1835.55352363961
"Central Coast-ROBINSON CREEKS",Central Coast,ROBINSON CREEKS,785.440476190476
"Central Coast-ROBO'S CREEK",Central Coast,ROBO'S CREEK,50
"Central Coast-ROLAND CREEK",Central Coast,ROLAND CREEK,3087.34816653934
"Central Coast-RONALD CREEK",Central Coast,RONALD CREEK,727.626610644258
"Central Coast-ROSCOE CREEK",Central Coast,ROSCOE CREEK,30652.2274031072
"Central Coast-RYAN CREEK",Central Coast,RYAN CREEK,5616.66133447208
"Central Coast-SAGAR CREEK",Central Coast,SAGAR CREEK,2301.17398119122
"Central Coast-SALLOOMT RIVER",Central Coast,SALLOOMT RIVER,2628.51960784314
"Central Coast-SALLY CREEK",Central Coast,SALLY CREEK,1885.97950660451
"Central Coast-SALMON BAY CREEK",Central Coast,SALMON BAY CREEK,15516.2050958025
"Central Coast-SALMON CREEK",Central Coast,SALMON CREEK,4128.80210084034
"Central Coast-SALTER LAKE CREEK",Central Coast,SALTER LAKE CREEK,1356.10303030303
"Central Coast-SANDELL RIVER",Central Coast,SANDELL RIVER,1986.36363636364
"Central Coast-SATO CREEK",Central Coast,SATO CREEK,43.0588235294118
"Central Coast-SCOW BAY CREEK",Central Coast,SCOW BAY CREEK,12219.596975018
"Central Coast-SCRIBNER CREEK",Central Coast,SCRIBNER CREEK,2310.99917929293
"Central Coast-SENTINEL CREEK",Central Coast,SENTINEL CREEK,1880.855
"Central Coast-SHAW CREEK",Central Coast,SHAW CREEK,5885.12441471572
"Central Coast-SHEEMAHANT RIVER",Central Coast,SHEEMAHANT RIVER,83324.2874396135
"Central Coast-SHENEEZA CREEK",Central Coast,SHENEEZA CREEK,721.238471673254
"Central Coast-SHIP POINT CREEK",Central Coast,SHIP POINT CREEK,1063.93766578249
"Central Coast-SKIMLETS CREEK",Central Coast,SKIMLETS CREEK,7.41666666666667
"Central Coast-SKOWQUILTZ RIVER",Central Coast,SKOWQUILTZ RIVER,5122.29716312057
"Central Coast-SKULL CREEK",Central Coast,SKULL CREEK,3561.9298245614
"Central Coast-SMOKEHOUSE CREEK",Central Coast,SMOKEHOUSE CREEK,65936.4153846154
"Central Coast-SNASS CREEK",Central Coast,SNASS CREEK,233.333333333333
"Central Coast-SNOOKA CREEK",Central Coast,SNOOKA CREEK,35.7222222222222
"Central Coast-SNOOTLI CREEK",Central Coast,SNOOTLI CREEK,5304.55555555556
"Central Coast-SODA CREEK",Central Coast,SODA CREEK,11137.0220102814
"Central Coast-SOUND POINT LAGOON CREEK",Central Coast,SOUND POINT LAGOON CREEK,1756.30896446938
"Central Coast-SPENCER CREEK",Central Coast,SPENCER CREEK,1357.96296296296
"Central Coast-STANNARD CREEK",Central Coast,STANNARD CREEK,10621.417248062
