cuid,cuname,culabel,SPECIES_QUALIFIED,FULL_CU_IN,region
827,Yakoun,Yakoun,SEL,SEL-17-09,HaidaGwaii
828,Marie,Marie,SEL,SEL-17-10,HaidaGwaii
880,Haida Gwaii Winter,Haida Gwaii Winter,SH,NA,HaidaGwaii
900,Southern Coastal Streams,Southern Coastal Streams,CM,CM-8,Vancouver Island & Mainland Inlets
901,Bute Inlet,Bute Inlet,CM,CM-7,Vancouver Island & Mainland Inlets
902,Loughborough,Loughborough,CM,CM-6,Vancouver Island & Mainland Inlets
903,Northeast Vancouver Island,Northeast Vancouver Island,CM,CM-5,Vancouver Island & Mainland Inlets
904,Georgia Strait,Georgia Strait,CM,CM-4,Vancouver Island & Mainland Inlets
905,Howe Sound-Burrard Inlet,Howe Sound-Burrard Inlet,CM,CM-3,Vancouver Island & Mainland Inlets
906,Boundary Bay,Boundary Bay,CO,CO-1,Fraser
907,Howe Sound-Burrard Inlet,Howe Sound-Burrard Inlet,CO,CO-10,Vancouver Island & Mainland Inlets
908,Georgia Strait Mainland,Georgia Strait Mainland,CO,CO-11,Vancouver Island & Mainland Inlets
909,Southern Coastal Streams-Queen Charlotte Strait-Johnstone Strait-Southern Fjords,Southern Coastal Streams-Queen Charlotte Strait-Johnstone Strait-Southern Fjords,CO,CO-12,Vancouver Island & Mainland Inlets
910,East Vancouver Island-Georgia Strait,East Vancouver Island-Georgia Strait,CO,CO-13,Vancouver Island & Mainland Inlets
911,East Vancouver Island-Johnstone Strait-Southern Fjords,East Vancouver Island-Johnstone Strait-Southern Fjords,CO,CO-14,Vancouver Island & Mainland Inlets
912,Nahwitti Lowland,Nahwitti Lowland,CO,CO-15,Vancouver Island & Mainland Inlets
913,Juan de Fuca-Pachena,Juan de Fuca-Pachena,CO,CO-16,Vancouver Island & Mainland Inlets
914,West Vancouver Island,West Vancouver Island,CO,CO-17,Vancouver Island & Mainland Inlets
915,Clayoquot,Clayoquot,CO,CO-18,Vancouver Island & Mainland Inlets
916,Homathko-Klinaklini Rivers,Homathko-Klinaklini Rivers,CO,CO-19,Vancouver Island & Mainland Inlets
917,Georgia Strait,Georgia Strait (even),PKE,PKE-1,Vancouver Island & Mainland Inlets
918,West Vancouver Island,West Vancouver Island (even),PKE,PKE-2,Vancouver Island & Mainland Inlets
919,Northwest Vancouver Island,Northwest Vancouver Island (even),PKE,PKE-3,Vancouver Island & Mainland Inlets
920,Southern Fjords,Southern Fjords (even),PKE,PKE-4,Vancouver Island & Mainland Inlets
921,East Howe Sound-Burrard Inlet,East Howe Sound-Burrard Inlet (odd),PKO,PKO-2,Vancouver Island & Mainland Inlets
922,Georgia Strait,Georgia Strait (odd),PKO,PKO-3,Vancouver Island & Mainland Inlets
923,East Vancouver Island-Johnstone Strait,East Vancouver Island-Johnstone Strait (odd),PKO,PKO-4,Vancouver Island & Mainland Inlets
924,Nahwitti,Nahwitti (odd),PKO,PKO-5,Vancouver Island & Mainland Inlets
925,West Vancouver Island,West Vancouver Island (odd),PKO,PKO-6,Vancouver Island & Mainland Inlets
926,Southern Fjords,Southern Fjords (odd),PKO,PKO-7,Vancouver Island & Mainland Inlets
927,Fulmore,Fulmore,SEL,SEL-11-01,Vancouver Island & Mainland Inlets
928,Heydon,Heydon,SEL,SEL-11-02,Vancouver Island & Mainland Inlets
929,Kakweiken,Kakweiken,SEL,SEL-11-03,Vancouver Island & Mainland Inlets
930,Loose,Loose,SEL,SEL-11-04,Vancouver Island & Mainland Inlets
931,Mackenzie,Mackenzie,SEL,SEL-11-05,Vancouver Island & Mainland Inlets
932,Phillips,Phillips,SEL,SEL-11-06,Vancouver Island & Mainland Inlets
933,Sakinaw,Sakinaw,SEL,SEL-11-07,Vancouver Island & Mainland Inlets
935,Tzoonie,Tzoonie,SEL,SEL-11-09,Vancouver Island & Mainland Inlets
937,Ida/Bonanza,Ida-Bonanza,SEL,SEL-12-01,Vancouver Island & Mainland Inlets
938,Nahwitti,Nahwitti,SEL,SEL-12-02,Vancouver Island & Mainland Inlets
939,Nimpkish,Nimpkish,SEL,SEL-12-03,Vancouver Island & Mainland Inlets
941,Quatse,Quatse,SEL,SEL-12-05,Vancouver Island & Mainland Inlets
942,Schoen,Schoen,SEL,SEL-12-06,Vancouver Island & Mainland Inlets
943,Shushartie,Shushartie,SEL,SEL-12-07,Vancouver Island & Mainland Inlets
944,Woss,Woss,SEL,SEL-12-08,Vancouver Island & Mainland Inlets
945,Alice,Alice,SEL,SEL-13-01,Vancouver Island & Mainland Inlets
946,Canoe Creek,Canoe Creek,SEL,SEL-13-02,Vancouver Island & Mainland Inlets
947,Cecilia,Cecilia,SEL,SEL-13-03,Vancouver Island & Mainland Inlets
948,Cheewat,Cheewat,SEL,SEL-13-04,Vancouver Island & Mainland Inlets
949,Clayoquot,Clayoquot,SEL,SEL-13-05,Vancouver Island & Mainland Inlets
950,Deserted,Deserted,SEL,SEL-13-06,Vancouver Island & Mainland Inlets
951,Fairy,Fairy,SEL,SEL-13-07,Vancouver Island & Mainland Inlets
952,Great Central,Great Central,SEL,SEL-13-08,Vancouver Island & Mainland Inlets
953,Henderson,Henderson,SEL,SEL-13-09,Vancouver Island & Mainland Inlets
954,Hesquiat,Hesquiat,SEL,SEL-13-10,Vancouver Island & Mainland Inlets
955,Hobiton,Hobiton,SEL,SEL-13-11,Vancouver Island & Mainland Inlets
956,Jansen,Jansen,SEL,SEL-13-12,Vancouver Island & Mainland Inlets
957,Kanim,Kanim,SEL,SEL-13-13,Vancouver Island & Mainland Inlets
958,Kennedy,Kennedy,SEL,SEL-13-14,Vancouver Island & Mainland Inlets
959,Maggie,Maggie,SEL,SEL-13-15,Vancouver Island & Mainland Inlets
960,Megin,Megin,SEL,SEL-13-16,Vancouver Island & Mainland Inlets
961,Muchalat,Muchalat,SEL,SEL-13-17,Vancouver Island & Mainland Inlets
962,Muriel,Muriel,SEL,SEL-13-18,Vancouver Island & Mainland Inlets
963,Nitinat,Nitinat,SEL,SEL-13-19,Vancouver Island & Mainland Inlets
964,O'Connell,O'Connell,SEL,SEL-13-20,Vancouver Island & Mainland Inlets
966,Park River,Park River,SEL,SEL-13-22,Vancouver Island & Mainland Inlets
967,Power,Power,SEL,SEL-13-23,Vancouver Island & Mainland Inlets
969,Sproat,Sproat,SEL,SEL-13-25,Vancouver Island & Mainland Inlets
970,William/Brink,William-Brink,SEL,SEL-13-26,Vancouver Island & Mainland Inlets
971,Southern Fjords,Southern Fjords (river-type),SER,SER-09,Vancouver Island & Mainland Inlets
972,West Vancouver Island,West Vancouver Island (river-type),SER,SER-10,Vancouver Island & Mainland Inlets
973,East Vancouver Island and Georgia Strait,East Vancouver Island & Georgia Strait (river-type),SER,SER-08,Vancouver Island & Mainland Inlets
974,NW Vancouver Island,NW Vancouver Island (river-type),SER,SER-11,Vancouver Island & Mainland Inlets
976,Vernon,Vernon,SEL,SEL-12-09,Vancouver Island & Mainland Inlets
977,Northwest Vancouver Island,Northwest Vancouver Island,CM,CM-11,Vancouver Island & Mainland Inlets
978,Southwest & West  Vancouver Island,Southwest & West Vancouver Island,CM,CM-10,Vancouver Island & Mainland Inlets
979,Upper Knight,Upper Knight,CM,CM-9,Vancouver Island & Mainland Inlets
980,South Coast Winter,South Coast Winter,SH,NA,Vancouver Island & Mainland Inlets
981,East Vancouver Island Winter,East Vancouver Island Winter,SH,NA,Vancouver Island & Mainland Inlets
982,West Vancouver Island Winter,West Vancouver Island Winter,SH,NA,Vancouver Island & Mainland Inlets
983,South Coast Summer,South Coast Summer,SH,NA,Vancouver Island & Mainland Inlets
984,West Vancouver Island Summer,West Vancouver Island Summer,SH,NA,Vancouver Island & Mainland Inlets
985,East Vancouver Island Summer,East Vancouver Island Summer,SH,NA,Vancouver Island & Mainland Inlets
1000,Lynn Canal,Lynn Canal,CM,CM-37,AlaskaTransboundary
1001,Taku,Taku,CM,CM-36,AlaskaTransboundary
1002,Whiting,Whiting,CM,CM-35,AlaskaTransboundary
1003,Unuk,Unuk,CM,CM-33,AlaskaTransboundary
1004,Alsek,Alsek,CK,CK-67,AlaskaTransboundary
1005,Lynn Canal,Lynn Canal,CK,CK-66,AlaskaTransboundary
1006,Taku-Early Timing,Taku-Early Timing,CK,CK-63,AlaskaTransboundary
1007,Taku-Mid Timing,Taku-Mid Timing,CK,CK-64,AlaskaTransboundary
1008,Taku-Late Timing,Taku-Late Timing,CK,CK-65,AlaskaTransboundary
1009,Whiting,Whiting,CK,CK-62,AlaskaTransboundary
1010,Stikine-Early Timing,Stikine-Early Timing,CK,CK-60,AlaskaTransboundary
1011,Stikine-Late Timing,Stikine-Late Timing,CK,CK-61,AlaskaTransboundary
1012,Unuk,Unuk,CK,CK-59,AlaskaTransboundary
1013,Alsek River,Alsek,CO,CO-45,AlaskaTransboundary
1014,Lynn Canal,Lynn Canal,CO,CO-44,AlaskaTransboundary
1015,Taku-Late Timing,Taku-Late Timing,CO,CO-42,AlaskaTransboundary
1016,Whiting River,Whiting,CO,CO-40,AlaskaTransboundary
1017,Lower Stikine,Lower Stikine,CO,CO-39,AlaskaTransboundary
1018,Unuk River,Unuk,CO,CO-38,AlaskaTransboundary
1019,Transboundary Fjords,Transboundary Fjords (even),PKE,PKE-13,AlaskaTransboundary
1020,Transboundary Fjords,Transboundary Fjords (odd),PKO,PKO-19,AlaskaTransboundary
1021,Alsek River,Alsek (river-type),SER,SER-24,AlaskaTransboundary
1022,Chilkat River,Chilkat (river-type),SER,SER-023,AlaskaTransboundary
1023,Northern Transboundary Fjords,Northern Transboundary Fjords (river-type),SER,SER-22,AlaskaTransboundary
1024,Border,Border,SEL,SEL-25-01,AlaskaTransboundary
1025,Christina,Christina,SEL,SEL-26-01,AlaskaTransboundary
1026,Tahltan,Tahltan,SEL,SEL-26-02,AlaskaTransboundary
1027,Kuthai,Kuthai,SEL,SEL-28-01,AlaskaTransboundary
1028,Little Trapper,Little Trapper,SEL,SEL-28-02,AlaskaTransboundary
1029,Tatsamenie,Tatsamenie,SEL,SEL-28-03,AlaskaTransboundary
1031,Blanchard,Blanchard,SEL,SEL-30-01,AlaskaTransboundary
1032,Lower Stikine,Lower Stikine,CM,CM-34,AlaskaTransboundary
1033,King Salmon,King Salmon,SEL,SEL-28-05,AlaskaTransboundary
1034,Taku-Early Timing,Taku-Early Timing,CO,CO-41,AlaskaTransboundary
1035,Taku-Mid Timing,Taku-Mid Timing,CO,CO-43,AlaskaTransboundary
1036,Chutine,Chutine,SEL,SEL-26-03,AlaskaTransboundary
1037,Whiting,Whiting,SEL,SEL-27-01,AlaskaTransboundary
1038,Klukshu,Klukshu,SEL,SEL-30-02,AlaskaTransboundary
1039,Nesketahin,Nesketahin,SEL,SEL-30-03,AlaskaTransboundary
1080,Alsek Summer,Alsek Summer,SH,NA,AlaskaTransboundary
1081,Taku Summer,Taku Summer,SH,NA,AlaskaTransboundary
1082,Taku Winter,Taku Winter,SH,NA,AlaskaTransboundary
1083,Stikine Summer,Stikine Summer,SH,NA,AlaskaTransboundary
1084,Stikine Winter,Stikine Winter,SH,NA,AlaskaTransboundary
1201,Big Salmon,Big Salmon,CK,CK-70,Yukon
1202,Nordenskiold,Nordenskiold,CK,CK-71,Yukon
1203,Pelly,Pelly,CK,CK-72,Yukon
1204,Middle Yukon River and tributaries,Middle Yukon,CK,CK-73,Yukon
1205,Stewart,Stewart,CK,CK-74,Yukon
1206,White and tributaries,White,CK,CK-75,Yukon
1207,Northern Yukon River and tributaries,Northern Yukon,CK,CK-76,Yukon
1208,Salmon Fork,Salmon Fork,CK,CK-77,Yukon
1209,Porcupine (Chinook),Porcupine,CK,CK-78,Yukon
1210,Old Crow,Old Crow,CK,CK-79,Yukon
1211,Upper Yukon River,Upper Yukon,CK,CK-69,Yukon
1212,Yukon River-Teslin headwaters,Teslin,CK,CK-68,Yukon
1213,Middle Yukon,Middle Yukon,CM,CM-42,Yukon
1214,N Yukon River,North Yukon,CM,CM-43,Yukon
1215,White,White,CM,CM-44,Yukon
1216,Donjek Kluane,Donjek Kluane,CM,CM-45,Yukon
1217,Porcupine River (chum),Porcupine,CM,CM-46,Yukon
1218,Stewart,Stewart,CM,CM-48,Yukon
1219,Teslin,Teslin,CM,CM-38,Yukon
1220,Porcupine River (coho),Porcupine,CO,CO-46,Yukon
1300,Osoyoos,Osoyoos,SEL,SEL-01-01,Columbia
1380,Mid Columbia Summer,Mid Columbia Summer,SH,NA,Columbia
