"river","year","infill","neighbour","escapement","pmax"
"nahmint_river",1990,NA,NA,230,NA
"nahmint_river",1991,NA,NA,171,NA
"nahmint_river",1992,NA,NA,150,NA
"nahmint_river",1993,NA,NA,83,NA
"nahmint_river",1994,NA,NA,450,NA
"nahmint_river",1995,NA,NA,212,NA
"nahmint_river",1996,NA,NA,232,NA
"nahmint_river",1997,NA,NA,236,NA
"nahmint_river",1998,NA,NA,739,NA
"nahmint_river",1999,NA,NA,740,NA
"nahmint_river",2000,NA,NA,68,NA
"nahmint_river",2001,NA,NA,213,NA
"nahmint_river",2002,NA,NA,319,NA
"nahmint_river",2003,NA,NA,630,NA
"nahmint_river",2004,NA,NA,1192,NA
"nahmint_river",2005,NA,NA,159,NA
"nahmint_river",2006,NA,NA,351,NA
"nahmint_river",2007,NA,NA,166,NA
"nahmint_river",2008,NA,NA,140,NA
"nahmint_river",2009,NA,NA,100,NA
"nahmint_river",2010,NA,NA,400,NA
"nahmint_river",2011,NA,NA,640,NA
"nahmint_river",2012,NA,NA,178,NA
"nahmint_river",2013,NA,NA,192,NA
"nahmint_river",2014,NA,NA,73,NA
"nahmint_river",2015,NA,NA,396,NA
"nahmint_river",2016,NA,NA,847,NA
"nahmint_river",2017,NA,NA,112,NA
"nahmint_river",2018,NA,NA,171,NA
"nahmint_river",2019,NA,NA,485,NA
"nahmint_river",2020,NA,NA,891,NA
"nahmint_river",2021,NA,NA,310,NA
"nahmint_river",2022,NA,NA,865,NA
"nahmint_river",2023,NA,NA,1019,NA
"san_juan_river",1979,NA,NA,400,NA
"san_juan_river",1980,NA,NA,500,NA
"san_juan_river",1981,NA,NA,750,NA
"san_juan_river",1982,NA,NA,775,NA
"san_juan_river",1983,NA,NA,775,NA
"san_juan_river",1984,NA,NA,1200,NA
"san_juan_river",1985,NA,NA,150,NA
"san_juan_river",1986,NA,NA,487,NA
"san_juan_river",1987,NA,NA,600,NA
"san_juan_river",1988,NA,NA,1500,NA
"san_juan_river",1989,NA,NA,300,NA
"san_juan_river",1990,NA,NA,500,NA
"san_juan_river",1991,NA,NA,450,NA
"san_juan_river",1992,NA,NA,500,NA
"san_juan_river",1993,NA,NA,1300,NA
"san_juan_river",1994,NA,NA,600,NA
"san_juan_river",1995,NA,NA,376,NA
"san_juan_river",1996,NA,NA,760,NA
"san_juan_river",1997,NA,NA,827,NA
"san_juan_river",1998,NA,NA,3840,NA
"san_juan_river",1999,NA,NA,1054,NA
"san_juan_river",2000,NA,NA,250,NA
"san_juan_river",2001,NA,NA,357,NA
"san_juan_river",2002,NA,NA,582,NA
"san_juan_river",2003,NA,NA,1000,NA
"san_juan_river",2004,NA,NA,3500,NA
"san_juan_river",2005,NA,NA,900,NA
"san_juan_river",2006,NA,NA,3712,NA
"san_juan_river",2007,NA,NA,1500,NA
"san_juan_river",2008,NA,NA,900,NA
"san_juan_river",2009,NA,NA,2870,NA
"san_juan_river",2010,NA,NA,832,NA
"san_juan_river",2011,NA,NA,300,NA
"san_juan_river",2012,NA,NA,860,NA
"san_juan_river",2013,NA,NA,874,NA
"san_juan_river",2014,NA,NA,4007,NA
"san_juan_river",2015,NA,NA,2061,NA
"san_juan_river",2016,NA,NA,899,NA
"san_juan_river",2017,NA,NA,1156,NA
"san_juan_river",2018,NA,NA,580,NA
"san_juan_river",2019,NA,NA,1243,NA
"san_juan_river",2020,NA,NA,799,NA
"san_juan_river",2021,NA,NA,794,NA
"san_juan_river",2022,NA,NA,494,NA
"san_juan_river",2023,NA,NA,2642,NA
"sarita_river",1979,NA,NA,400,NA
"sarita_river",1980,NA,NA,300,NA
"sarita_river",1981,NA,NA,160,NA
"sarita_river",1982,NA,NA,145,NA
"sarita_river",1983,NA,NA,127,NA
"sarita_river",1984,NA,NA,90,NA
"sarita_river",1985,NA,NA,300,NA
"sarita_river",1986,NA,NA,350,NA
"sarita_river",1988,NA,NA,300,NA
"sarita_river",1989,NA,NA,600,NA
"sarita_river",1990,NA,NA,550,NA
"sarita_river",1991,NA,NA,1500,NA
"sarita_river",1992,NA,NA,750,NA
"sarita_river",1993,NA,NA,1200,NA
"sarita_river",1994,NA,NA,800,NA
"sarita_river",1995,NA,NA,136,NA
"sarita_river",1996,NA,NA,431,NA
"sarita_river",1997,NA,NA,1570,NA
"sarita_river",1998,NA,NA,2231,NA
"sarita_river",1999,NA,NA,570,NA
"sarita_river",2000,NA,NA,175,NA
"sarita_river",2001,NA,NA,1247,NA
"sarita_river",2002,NA,NA,2968,NA
"sarita_river",2003,NA,NA,3380,NA
"sarita_river",2004,NA,NA,3104,NA
"sarita_river",2005,NA,NA,1000,NA
"sarita_river",2006,NA,NA,2904,NA
"sarita_river",2007,NA,NA,1300,NA
"sarita_river",2008,NA,NA,718,NA
