to,Indicator,sppqualifiedid,geofeatureid,streamname,cuid
8529,N,NA,NA,NICOAMEN RIVER,710
7942,Y,NA,NA,NICOLA RIVER,317
8378,N,NA,NA,NICOLA RIVER,707
8530,N,NA,NA,NICOLA RIVER,710
7943,N,NA,NA,NICOLA RIVER - UPPER,317
8379,N,NA,NA,NICOLA RIVER - UPPER,707
8931,N,NA,NA,NICOMEKL RIVER,302
8935,N,NA,NA,NICOMEKL RIVER,906
8171,N,NA,NA,NICOMEN SLOUGH,701
8313,N,NA,NA,NICOMEN SLOUGH,750
8041,N,NA,NA,NIKWIKWAIA CREEK,313
8446,N,NA,NA,NIKWIKWAIA CREEK,708
8531,N,NA,NA,NIKWIKWAIA CREEK,710
8781,N,NA,NA,NIKWIKWAIA CREEK,738
8854,N,NA,NA,NIKWIKWAIA CREEK,739
8609,N,NA,NA,NITHI RIVER,725
8447,N,NA,NA,NOISY CREEK,708
8855,N,NA,NA,NOISY CREEK,739
8172,N,NA,NA,NORRISH CREEK,701
8314,N,NA,NA,NORRISH CREEK,750
8532,N,NA,NA,NORRISH CREEK,710
8173,N,NA,NA,NORTH ALOUETTE RIVER,701
8315,N,NA,NA,NORTH ALOUETTE RIVER,750
8533,N,NA,NA,NORTH ALOUETTE RIVER,710
8733,N,NA,NA,NORTH ARM UNNAMED COVE - SHORE,728
8410,Y,NA,NA,NORTH BARRIERE RIVER-ABOVE  NORTH BARRIERE LAKE,709
8661,NA,NA,NA,NORTH BARRIERE RIVER-ABOVE  NORTH BARRIERE LAKE,752
8664,N,NA,NA,BOISE CREEK - NORTH,715
8027,N,NA,NA,NORTH THOMPSON RIVER,319
8411,Y,NA,NA,NORTH THOMPSON RIVER,709
8534,N,NA,NA,NORTH THOMPSON RIVER,710
8640,N,NA,NA,NORTH THOMPSON RIVER,740
8412,NA,NA,NA,PIG CHANNEL COMBINED,709
8020,NA,NA,NA,NORTH THOMPSON RIVER@VAVENBY,318
8894,Y,NA,NA,O'NE-ELL CREEK,732
8448,N,NA,NA,ONYX CREEK,708
8782,N,NA,NA,ONYX CREEK,738
8856,N,NA,NA,ONYX CREEK,739
8857,NA,NA,NA,ONYX CREEK - SHORE,739
8734,N,NA,NA,OPA BEACH - SHORE,728
8174,N,NA,NA,OR CREEK,701
8316,N,NA,NA,OR CREEK,750
8002,N,NA,NA,ORMOND CREEK,311
8610,NA,NA,NA,ORMOND CREEK,725
8064,N,NA,NA,OTTER CREEK,312
8449,N,NA,NA,OWLHEAD CREEK,708
8317,N,NA,NA,PALEFACE CREEK,750
8535,N,NA,NA,PALEFACE CREEK,710
8175,N,NA,NA,PARTINGTON CREEK,701
8318,N,NA,NA,PARTINGTON CREEK,750
8413,N,NA,NA,PAUL CREEK,709
8895,Y,NA,NA,PAULA CREEK,732
8176,N,NA,NA,PEACH CREEK,701
8319,N,NA,NA,PEACH CREEK,750
8536,N,NA,NA,PEACH CREEK,710
8320,N,NA,NA,PEACH SPAWNING CHANNEL,750
8246,N,NA,NA,PEMBERTON CREEK,704
8647,N,NA,NA,PEMBERTON CREEK,716
8735,N,NA,NA,PENFOLD CAMP - SHORE,728
8233,N,NA,NA,PENFOLD CREEK,749
8736,N,NA,NA,PENFOLD CREEK,728
8450,Y,NA,NA,PERRY RIVER,708
8783,N,NA,NA,PERRY RIVER,738
8858,N,NA,NA,PERRY RIVER,739
8177,N,NA,NA,PETER'S SLOUGH,701
8414,N,NA,NA,PETERSON CREEK,709
8003,N,NA,NA,PINCHI CREEK,311
8913,Y,NA,NA,PINCHI CREEK,731
8004,NA,NA,NA,PITKA CREEK,311
8665,N,NA,NA,PITT LAKE,715
7933,N,NA,NA,PITT RIVER - UPPER,305
8178,N,NA,NA,PITT RIVER - UPPER,701
8321,Y,NA,NA,PITT RIVER - UPPER,750
8537,N,NA,NA,PITT RIVER - UPPER,710
8666,Y,NA,NA,PITT RIVER-UPPER,715
8896,Y,NA,NA,POINT CREEK,732
8598,NA,NA,NA,POMEROY CREEK,735
8247,N,NA,NA,POOLE CREEK,704
8538,NA,NA,NA,POOLE CREEK,710
8648,N,NA,NA,POOLE CREEK,716
7946,N,NA,NA,PORTAGE CREEK,309
8224,N,NA,NA,PORTAGE CREEK,749
8539,N,NA,NA,PORTAGE CREEK,710
8767,N,NA,NA,PORTAGE CREEK,729
8897,N,NA,NA,PORTER CREEK,732
8322,N,NA,NA,POST CHANNEL,750
8179,N,NA,NA,POST CREEK,701
8323,N,NA,NA,POST CREEK,750
8065,N,NA,NA,PTARMIGAN CREEK,312
8180,N,NA,NA,PURCELL CREEK,701
8324,N,NA,NA,PURCELL CREEK,750
8621,N,NA,NA,PURCELL CREEK,713
8181,N,NA,NA,PYE CREEK,701
8325,N,NA,NA,PYE CREEK,750
8737,N,NA,NA,QUARTZ POINT - SHORE,728
8859,N,NA,NA,QUEEST CREEK - SHORE,739
8738,N,NA,NA,QUESNEL LAKE,728
8739,N,NA,NA,QUESNEL LAKE EAST ARM - UNNAMED CREEK 1,728
8005,Y,NA,NA,QUESNEL RIVER,311
8540,N,NA,NA,QUESNEL RIVER,710
8740,N,NA,NA,QUESNEL RIVER,728
8326,N,NA,NA,R4 CHANNEL,750
8028,Y,NA,NA,RAFT RIVER,319
8415,Y,NA,NA,RAFT RIVER,709
8641,Y,NA,NA,RAFT RIVER,740
8248,N,NA,NA,RAILROAD CREEK,704
8649,N,NA,NA,RAILROAD CREEK,716
8182,N,NA,NA,RANGER CREEK,701
8327,N,NA,NA,RANGER CREEK,750
8066,NA,NA,NA,RED MOUNTAIN CREEK,312
8416,Y,NA,NA,REG CHRISTIE CREEK,709
8860,N,NA,NA,REINECKER CREEK,739
8861,NA,NA,NA,REINECKER CREEK - SHORE,739
8741,N,NA,NA,ROARING POINT - SHORE,728
8742,N,NA,NA,ROARING RIVER,728
8743,N,NA,NA,ROARING RIVER - DECEPTION POINT,728
8744,N,NA,NA,ROARING RIVER - SHORE,728
8067,N,NA,NA,ROBSON RIVER,312
8745,N,NA,NA,ROCK SLIDE - SHORE,728
8746,N,NA,NA,ROCK SLIDE TO PENINSULA POINT - SHORE,728
8922,NA,NA,NA,ROLAND CREEK,734
8862,N,NA,NA,ROSS CREEK,739
8863,NA,NA,NA,ROSS CREEK - SHORE,739
8202,N,NA,NA,RUBY CREEK,705
8541,N,NA,NA,RUBY CREEK,710
7922,NA,NA,NA,RYAN RIVER,304
8249,N,NA,NA,RYAN RIVER,704
8650,N,NA,NA,RYAN RIVER,716
8183,N,NA,NA,RYDER CREEK,701
8328,N,NA,NA,RYDER CREEK,750
8542,N,NA,NA,RYDER CREEK,710
7974,NA,NA,NA,SAKENICHE RIVER,310
8898,N,NA,NA,SAKENICHE RIVER,732
8914,Y,NA,NA,SAKENICHE RIVER,731
8092,N,NA,NA,SAKWI CREEK,701
8329,N,NA,NA,SAKWI CREEK,750
8627,NA,NA,NA,SAKWI CREEK,714
8250,N,NA,NA,SALMON CREEK,704
8651,N,NA,NA,SALMON CREEK,716
8046,Y,NA,NA,SALMON RIVER,314
8068,Y,NA,NA,SALMON RIVER,312
8093,N,NA,NA,SALMON RIVER,701
8225,NA,NA,NA,SALMON RIVER,749
8330,Y,NA,NA,SALMON RIVER,750
8451,Y,NA,NA,SALMON RIVER,708
8543,NA,NA,NA,SALMON RIVER,710
8784,N,NA,NA,SALMON RIVER,738
8792,N,NA,NA,SALMON RIVER,739
8094,N,NA,NA,SALWEIN CREEK,701
8331,N,NA,NA,SALWEIN CREEK,750
8251,N,NA,NA,SAMPSON CREEK,704
8652,N,NA,NA,SAMPSON CREEK,716
8252,N,NA,NA,SAMPSON SLOUGH,704
8899,Y,NA,NA,SANDPOINT CREEK,732
8544,N,NA,NA,SAWMILL CREEK,710
8095,N,NA,NA,SCOREY CREEK,701
8332,N,NA,NA,SCOREY CREEK,750
8047,N,NA,NA,SCOTCH CREEK,314
8452,Y,NA,NA,SCOTCH CREEK,708
8545,N,NA,NA,SCOTCH CREEK,710
8785,N,NA,NA,SCOTCH CREEK,738
8793,Y,NA,NA,SCOTCH CREEK,739
8794,N,NA,NA,SCOTCH CREEK - SHORE,739
8096,N,NA,NA,SCOTT CREEK,701
8333,N,NA,NA,SCOTT CREEK,750
8069,N,NA,NA,SEEBACH CREEK,312
8453,Y,NA,NA,SENN CREEK,708
8932,N,NA,NA,SERPENTINE RIVER,302
8936,N,NA,NA,SERPENTINE RIVER,906
8747,N,NA,NA,SERVICE CREEK,728
8006,N,NA,NA,SETON AND CAYOOSH CREEKS,311
8226,N,NA,NA,SETON AND CAYOOSH CREEKS,749
8546,N,NA,NA,SETON AND CAYOOSH CREEKS,710
8007,Y,NA,NA,SETON RIVER,311
8227,N,NA,NA,SETON RIVER,749
8547,Y,NA,NA,SETON RIVER,710
8048,N,NA,NA,SEYMOUR RIVER,314
8454,Y,NA,NA,SEYMOUR RIVER,708
8786,N,NA,NA,SEYMOUR RIVER,738
8795,Y,NA,NA,SEYMOUR RIVER,739
8900,Y,NA,NA,SHALE CREEK,732
8417,Y,NA,NA,SHANNON CREEK,709
7975,N,NA,NA,SHOVEL CREEK,310
8455,NA,NA,NA,SHUSWAP LAKE,708
8548,N,NA,NA,SHUSWAP LAKE,710
8796,N,NA,NA,SHUSWAP LAKE,739
