"region","species_name","species_pooled","cuid","cu_name_pse","psf_status"
"Central Coast","Lake sockeye","Sockeye",606,"Yaaklele Lagoon","data-deficient"
"Central Coast","Lake sockeye","Sockeye",607,"Yeo","good"
"Central Coast","Pink (even)","Pink",608,"Hecate Lowlands (even)","fair"
"Central Coast","Pink (even)","Pink",609,"Hecate Strait-Fjords (even)","good"
"Central Coast","Pink (odd)","Pink",612,"Hecate Strait-Fjords (odd)","good"
"Central Coast","Pink (odd)","Pink",611,"Hecate Strait-Lowlands (odd)","good"
"Central Coast","Pink (odd)","Pink",610,"Homathko-Klinaklini-Smith-Rivers-Bella Coola-Dean (odd)","poor"
"Central Coast","River sockeye","Sockeye",614,"Northern Coastal Fjords (river-type)","poor"
"Central Coast","River sockeye","Sockeye",615,"Northern Coastal Streams (river-type)","data-deficient"
"Central Coast","River sockeye","Sockeye",613,"Rivers-Smith Inlets (river-type)","data-deficient"
"Central Coast","Steelhead","Steelhead",682,"Central Coast Winter","data-deficient"
"Central Coast","Steelhead","Steelhead",681,"North Coast Summer","data-deficient"
"Central Coast","Steelhead","Steelhead",680,"North Coast Winter","data-deficient"
"Central Coast","Steelhead","Steelhead",683,"Transition Summer","data-deficient"
"Fraser","Chinook","Chinook",302,"Boundary Bay (Fall 4-1)","data-deficient"
"Fraser","Chinook","Chinook",308,"Fraser Canyon-Nahatlatch (Spring 5-2)","data-deficient"
"Fraser","Chinook","Chinook",307,"Lower Fraser River-Maria Slough (Summer 4-1)","data-deficient"
"Fraser","Chinook","Chinook",305,"Lower Fraser River-Upper Pitt (Summer 5-2)","data-deficient"
"Fraser","Chinook","Chinook",303,"Lower Fraser River (Fall 4-1)","data-deficient"
"Fraser","Chinook","Chinook",304,"Lower Fraser River (Spring 5-2)","data-deficient"
"Fraser","Chinook","Chinook",306,"Lower Fraser River (Summer 5-2)","data-deficient"
"Fraser","Chinook","Chinook",317,"Lower Thompson River (Spring 4-2)","data-deficient"
"Fraser","Chinook","Chinook",309,"Middle Fraser River-Portage (Fall 5-2)","data-deficient"
"Fraser","Chinook","Chinook",310,"Middle Fraser River (Spring 5-2)","data-deficient"
"Fraser","Chinook","Chinook",311,"Middle Fraser River (Summer 5-2)","data-deficient"
"Fraser","Chinook","Chinook",318,"North Thompson River (Spring 5-2)","data-deficient"
"Fraser","Chinook","Chinook",319,"North Thompson River (Summer 5-2)","data-deficient"
"Fraser","Chinook","Chinook",315,"Shuswap River (Summer 4-1)","data-deficient"
"Fraser","Chinook","Chinook",333,"South Thompson-Adams River Upper","data-deficient"
"Fraser","Chinook","Chinook",316,"South Thompson River-Bessette Creek (Summer 4-2)","data-deficient"
"Fraser","Chinook","Chinook",313,"South Thompson River (Summer 4-1)","data-deficient"
"Fraser","Chinook","Chinook",314,"South Thompson River (Summer 5-2)","data-deficient"
