stock,year,2.50%,25%,50%,75%,97.50%,SD
Pelly,2016,6682.610091,7563.263898,8141.640245,13582.28782,15682.57304,2249.990738
Stewart,2016,4749.898079,4993.374028,5114.421892,5225.233918,5407.905113,164.5017585
Carmacks,2016,8437.591329,9303.410318,9896.551797,13848.36125,14431.36168,1498.442587
Teslin,2016,7086.149127,7931.988877,8543.076968,13762.99479,15761.61537,2168.866562
MiddleMainstem,2016,5955.096069,6147.435156,6278.37449,6581.390438,6859.227763,226.0329235
UpperLakesAndMainstem,2016,2899.720492,3005.792491,3066.223779,3129.561667,3253.701816,88.49533093
LowerMainstem,2017,10585.27945,10966.87743,11170.84868,11369.85864,11757.28191,293.0006151
WhiteDonjek,2017,10387.51794,10738.4046,10933.88025,11123.84922,11499.96061,278.1106663
Pelly,2017,8018.317941,8924.829735,9404.764072,9891.716315,10790.29995,692.9955029
Stewart,2017,3396.047014,3617.06139,3728.488742,3845.770847,4059.914599,165.9668963
Carmacks,2017,12802.09998,13612.77925,14025.13028,14455.246,15244.67855,610.6446426
Teslin,2017,12293.97796,12970.87553,13329.06952,13668.00354,14339.72614,511.437045
MiddleMainstem,2017,7549.416935,7741.689721,7842.875092,7941.292413,8139.075212,147.4145693
UpperLakesAndMainstem,2017,2818.684221,2903.74649,2947.419905,2992.443114,3079.619888,65.23391672
LowerMainstem,2018,10599.60362,10852.49978,10989.1292,11126.45382,11390.99414,197.8476301
WhiteDonjek,2018,1377.354025,2001.801902,2426.073836,7816.246248,8237.50819,1715.038541
Pelly,2018,5192.456237,6016.46367,6444.313297,6870.417835,7725.302037,633.2114501
Stewart,2018,3819.533472,3990.783298,4084.496787,4176.089438,4357.007452,134.3684951
Carmacks,2018,7329.136885,8023.207555,12376.90714,12596.11109,12926.64538,1399.377123
Teslin,2018,5295.691369,6131.786102,6563.215887,6997.239201,7825.916504,632.5562838
MiddleMainstem,2018,10762.20846,11418.21044,11780.5695,11971.46977,12256.14701,373.4846368
UpperLakesAndMainstem,2018,2342.567447,2519.977636,3441.1481,3549.884344,3704.510268,340.4857052
LowerMainstem,2019,2323.812927,2596.855809,3395.23098,5078.940695,5464.677555,785.2161572
WhiteDonjek,2019,1345.899153,2270.374493,5408.861713,6313.16981,6798.04374,1363.036147
Pelly,2019,6359.041515,7347.581869,7977.728205,8512.535985,9365.520355,751.6197102
Stewart,2019,2268.409999,2477.355813,2708.482618,3003.497053,3154.780392,221.5925983
Carmacks,2019,5652.295161,6388.702642,9679.293217,9916.138778,10246.87951,1148.646087
Teslin,2019,3845.573476,4734.862424,5291.646176,5646.343652,6256.72595,602.7881183
MiddleMainstem,2019,7817.242591,8573.629992,9715.383815,9925.427182,10229.69381,603.1128044
UpperLakesAndMainstem,2019,2896.496835,3091.587596,3654.825727,3750.412945,3891.035349,248.6346285
