"region","species","year","spawners","smoothedSpawners","expansion_factor1","expansion_factor2"
"Skeena","Chinook",1978,14738.2435513219,15292.6063257526,1.00789745419101,1.27154443186464
"Skeena","Chinook",1979,11737.956552549,12797.734733656,1.00722961809554,1.27154443186464
"Skeena","Chinook",1980,19191.8471292904,12359.1580529281,1.00722961809554,1.27154443186464
"Skeena","Chinook",1981,13091.1705116314,12605.2910865806,1.05056000577011,1.27154443186464
"Skeena","Chinook",1982,11313.3324313553,13860.2396747735,1.22823244794957,1.27154443186464
"Skeena","Chinook",1983,12640.433781806,13559.6246583741,1.05396610731965,1.27154443186464
"Skeena","Chinook",1984,23259.8156254047,14631.0139550665,1.01036012574472,1.27154443186464
"Skeena","Chinook",1985,48176.3390610132,18513.1920922703,1.0075269256422,1.27154443186464
"Skeena","Chinook",1986,49745.2624728364,21698.0380221209,1.0044139231484,1.27154443186464
"Skeena","Chinook",1987,31667.1061107568,25139.6242487147,1.0044139231484,1.27154443186464
"Skeena","Chinook",1988,43718.0579831691,31492.260438624,1.0075269256422,1.27154443186464
"Skeena","Chinook",1989,37197.1956231414,37698.887807438,1.0044139231484,1.27154443186464
"Skeena","Chinook",1990,38499.8956930334,41001.9097476217,1.0044139231484,1.27154443186464
"Skeena","Chinook",1991,46916.3598700807,40821.2066172877,1.0044139231484,1.27154443186464
"Skeena","Chinook",1992,57219.1800465929,41784.7192267339,1.00448110045721,1.27154443186464
"Skeena","Chinook",1993,60262.1363032593,46514.6951796654,1.00079964365509,1.27154443186464
"Skeena","Chinook",1994,37130.0799456551,45265.5376387264,4.76747309552429,1.27154443186464
"Skeena","Chinook",1995,30540.6004401353,43802.1651659701,1.00812206759052,1.27154443186464
"Skeena","Chinook",1996,73419.2188964849,48777.6207767016,1.00812206759052,1.27154443186464
"Skeena","Chinook",1997,43631.0773213384,48190.9939947039,1.00812206759052,1.27154443186464
"Skeena","Chinook",1998,41515.3740290309,45681.8592861043,1.0036755653465,1.27154443186464
"Skeena","Chinook",1999,39859.8098923823,42640.8207093439,1.00812206759052,1.27154443186464
"Skeena","Chinook",2000,54005.2663068047,45388.3009959464,1.43705572063924,1.27154443186464
"Skeena","Chinook",2001,56221.3370548949,50247.5077697798,1,1.27154443186464
"Skeena","Chinook",2002,21914.7569175745,41077.3428038505,1.09454814733979,1.27154443186464
"Skeena","Chinook",2003,34076.3539733032,39419.5691391248,1.00661775957265,1.27154443186464
"Skeena","Chinook",2004,19155.6696577297,34651.86419966,1.3284730360434,1.27154443186464
"Skeena","Chinook",2005,20523.1934298392,31022.6021278324,1.3446943863228,1.27154443186464
"Skeena","Chinook",2006,32652.00102602,28527.070223854,1.31397477825505,1.27154443186464
